Year,State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1990,AK,1130,4402,5196,4370,3690,3980,5200,5850,5630,4482,3078,2109,1567,1209,896,548,319,154,85
1990,AL,5798,22355,28501,29341,31601,30793,31749,32886,30608,27966,22339,19374,18195,18016,16569,13142,10434,6611,4669
1990,AR,3281,13037,17018,17288,17669,16224,17580,17858,16787,15703,12967,10978,10400,10620,10471,8769,7055,4594,3376
1990,AZ,6438,23986,28496,26341,26111,27945,31557,31540,28030,24561,18965,15545,14430,15150,15958,13039,9502,5620,3736
1990,CA,55810,197027,224772,201690,207493,251330,285144,282915,248681,213749,160328,127383,112036,109116,104696,80198,60147,37513,29363
1990,CO,5194,20553,25494,23104,22348,23706,28416,31901,30226,26150,18667,14420,12668,11907,10976,8278,6110,3917,3191
1990,CT,4918,18351,20738,19312,21070,25107,28610,29673,26615,24637,19970,15591,14524,14815,13905,11596,8733,5507,4625
1990,DC,882,2819,2993,2737,4039,6120,6438,5858,5149,4398,3393,2806,2557,2544,2449,1949,1558,960,756
1990,DE,1055,3943,4690,4335,4592,5472,5898,5988,5231,4682,3723,3062,2947,2995,2830,2124,1473,904,695
1990,FL,18585,71024,83751,77721,80320,86734,104263,105996,94975,85168,68699,58774,57833,67172,73723,62999,48559,30307,20740
1990,GA,10363,39631,47907,46550,49178,52087,58489,58316,52742,48349,36927,29043,25418,23515,21347,16722,12607,7748,5401
1990,HI,1870,6625,7955,7321,7263,9125,10101,10141,9622,8360,6208,4725,4526,4910,4539,3307,2278,1314,1018
1990,IA,3779,15238,20451,20213,19644,19562,20218,21954,21039,18427,14376,12692,12040,12584,12078,10365,8367,5854,5407
1990,ID,1566,6414,8885,9002,7989,6477,6974,7935,7853,6889,5305,4337,3817,3765,3700,3111,2399,1509,1085
1990,IL,18256,67397,82177,78632,81198,86376,98243,101187,90725,80033,63287,52926,48138,48798,45090,36487,28316,18124,14469
1990,IN,8103,31174,39792,39701,42088,42195,44539,46830,43518,39031,30944,26023,23806,24208,22341,17493,13355,8651,7028
1990,KS,3644,14841,19121,17689,16864,17865,19695,20913,19347,16560,12562,10497,10091,10313,9915,8178,6620,4664,4077
1990,KY,4995,19630,25758,26903,28110,27820,29827,30839,28745,26191,20447,17456,16072,15866,14789,11550,9036,5816,4429
1990,LA,6595,26259,34467,33278,32721,32623,34348,35942,32699,28267,21987,18452,17013,17041,15335,11764,8998,5736,4166
1990,MA,9055,32914,37376,34407,40587,51712,55661,54439,48377,43740,33544,26344,25090,26110,25011,20734,15997,10626,9071
1990,MD,7747,28926,33345,29960,30991,36776,44619,45168,40522,37118,29078,22812,19996,19431,17851,13467,9605,5947,4566
1990,ME,1717,6824,8681,8326,8705,8598,9749,10652,10189,9261,6871,5573,5358,5436,5048,4062,3150,2162,1799
1990,MI,14966,55698,68245,66119,68974,70494,75789,80927,74721,66318,52013,42384,38833,40034,36563,28566,21195,13203,10491
1990,MN,6764,26938,34277,31339,29525,31315,37579,39772,35930,30706,23433,19087,17043,16973,15831,13397,10780,7443,6780
1990,MO,7439,29340,37253,35725,35790,36040,41458,43121,38771,34673,28084,23742,22543,22692,21596,17373,14171,9751,7913
1990,MS,3888,15177,20248,20628,21835,19907,19651,20228,18566,16542,13047,11516,10618,10642,9710,7854,6373,4175,3040
1990,MT,1101,4682,6365,6196,5575,4667,5401,6542,6672,5827,4370,3634,3272,3334,3154,2765,2072,1294,997
1990,NC,9718,36856,43640,43598,49363,55623,56773,56894,52481,48042,37666,31384,29155,28859,27085,20708,15427,9397,6774
1990,ND,870,3634,4922,4649,4537,4767,4892,5306,4963,4016,3000,2586,2579,2656,2430,2199,1853,1283,1062
1990,NE,2330,9413,12358,11591,11095,10744,12218,13054,12227,10528,7918,6755,6551,6668,6290,5252,4317,3112,2816
1990,NH,1761,6680,7909,7074,7514,8331,9738,10674,9693,8701,6366,4857,4420,4353,3937,3173,2392,1618,1309
1990,NJ,11740,43076,49196,47970,50622,56727,66967,69517,62395,57690,46480,37560,35150,36275,33758,26940,20077,12354,9359
1990,NM,2584,10161,12988,12130,11292,10489,12306,12968,12010,10544,7880,6557,6038,5845,5425,4134,3108,1878,1326
1990,NV,2047,7768,8965,8045,7554,8731,10983,11102,9982,9043,7270,6058,5372,5237,5016,3560,2251,1158,719
1990,NY,27907,101065,116494,112927,122573,141927,157091,157559,142518,129885,103571,86562,80563,82231,74658,58791,45927,30012,24173
