,Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
1832,UNIVERSITY OF MD CHARLES REGIONAL  MEDICAL CENTER,210035,MD,READM-30-AMI-HRRP,25,1.0914,26.8,24.6,12.0,07/01/2010,06/30/2013
1699,ATLANTIC GENERAL HOSPITAL,210061,MD,READM-30-AMI-HRRP,27,1.0961,24.8,22.6,12.0,07/01/2010,06/30/2013
1774,MERCY MEDICAL CENTER INC,210008,MD,READM-30-AMI-HRRP,28,1.0934,24.4,22.3,12.0,07/01/2010,06/30/2013
1853,KAISER FOUNDATION HOSPITAL-SANTA CLARA,50071,CA,READM-30-HF-HRRP,29,1.0908,21.0,19.3,11.0,07/01/2010,06/30/2013
1290,PALMERTON HOSPITAL,390019,PA,READM-30-AMI-HRRP,30,1.1123,23.2,20.9,13.0,07/01/2010,06/30/2013
1602,TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL,440056,TN,READM-30-AMI-HRRP,31,1.0992,24.2,22.1,13.0,07/01/2010,06/30/2013
2048,FORT MADISON COMMUNITY HOSPITAL,160122,IA,READM-30-AMI-HRRP,33,1.0847,22.6,20.9,12.0,07/01/2010,06/30/2013
2441,ISLAND HOSPITAL,500007,WA,READM-30-AMI-HRRP,34,1.0738,20.8,19.3,11.0,07/01/2010,06/30/2013
2512,NORTH CENTRAL BRONX HOSPITAL,330385,NY,READM-30-HF-HRRP,34,1.072,23.3,21.8,12.0,07/01/2010,06/30/2013
2825,KAISER FOUNDATION HOSPITAL FONTANA,50140,CA,READM-30-PN-HRRP,34,1.0651,20.7,19.4,11.0,07/01/2010,06/30/2013
3828,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,50135,CA,READM-30-AMI-HRRP,35,1.0444,26.7,25.6,12.0,07/01/2010,06/30/2013
5125,WESTCHESTER GENERAL HOSPITAL,100284,FL,READM-30-AMI-HRRP,35,1.0228,27.5,26.8,11.0,07/01/2010,06/30/2013
3312,ALBANY MEMORIAL HOSPITAL,330003,NY,READM-30-AMI-HRRP,35,1.0548,22.7,21.6,11.0,07/01/2010,06/30/2013
2378,GREENVIEW REGIONAL HOSPITAL,180124,KY,READM-30-AMI-HRRP,35,1.0756,20.1,18.6,11.0,07/01/2010,06/30/2013
2670,MISSION COMMUNITY HOSPITAL,50704,CA,READM-30-AMI-HRRP,35,1.0683,25.9,24.2,13.0,07/01/2010,06/30/2013
2944,SETON MEDICAL CENTER HARKER HEIGHTS,670080,TX,READM-30-PN-HRRP,35,1.0622,20.7,19.5,11.0,07/01/2010,06/30/2013
1238,MURRAY-CALLOWAY COUNTY HOSPITAL,180027,KY,READM-30-AMI-HRRP,36,1.1149,19.7,17.7,13.0,07/01/2010,06/30/2013
